,Monte Carlo,Antithetic Variates,Stratified Sampling,Empirical Martingale Correction
154,1006.5610650023067,988.1281990330592,1006.5610650023067,1006.5610650023067
155,998.6915326664338,1006.4824376229075,1006.4824376229074,1006.4824376229074
156,1006.5565381505535,1006.5565381505537,1006.5565381505535,1006.5565381505535
157,998.8097698264934,1006.558535288523,1006.5585352885231,1006.5585352885231
158,999.470739453329,996.957068913315,1006.4810302221456,1006.4810302221456
159,997.7423699673053,1006.4833885704825,1006.483388570482,1006.483388570482
160,1006.2494445115152,1006.2494445115152,1006.2494445115152,1006.2494445115152
161,1006.3312864187445,1006.3312864187445,1006.3312864187445,1006.3312864187445
162,988.4920144391301,993.8459269057972,1006.2563277984534,1006.2563277984534
163,1006.25976945958,997.4273270148639,1006.25976945958,1006.25976945958
164,1006.1004576086032,996.4694550350836,1006.1004576086032,1006.1004576086032
165,1005.8900578453391,1005.890057845339,1005.8900578453391,1005.8900578453391
166,1006.2015670394239,1006.2015670394239,1006.2015670394239,1006.2015670394239
167,1005.9847018780418,1002.1609389790331,1005.9847018780418,1005.9847018780418
168,1006.2090964670765,1006.2090964670766,1006.2090964670765,1006.2090964670765
169,1006.2128612020314,1006.2128612020314,1006.2128612020314,1006.2128612020314
170,1005.8488879043347,997.4660846292984,1005.8488879043347,1005.8488879043347
171,1006.0629671865204,1003.3433291737866,1006.0629671865204,1006.0629671865204
172,1005.9343468746497,1005.9343468746498,1005.9343468746497,1005.9343468746497
173,1005.9395172232045,1005.9395172232046,1005.9395172232045,1005.9395172232045
174,1005.8632572767998,1005.8632572767998,1005.8632572767998,1005.8632572767998
175,1004.6888206924986,1004.6888206924981,1004.6888206924986,1004.6888206924986
176,996.8640578785514,1005.3715461020515,1005.3715461020521,1005.3715461020521
177,1005.1619635611246,1005.1619635611245,1005.1619635611246,1005.1619635611246
178,1005.611860898071,1005.6118608980712,1005.611860898071,1005.611860898071
179,1005.7549408359465,998.132141001984,1005.7549408359465,1005.7549408359465
180,1005.3097286713448,1005.3097286713449,1005.3097286713448,1005.3097286713448
181,997.7912973150384,1005.6251817329809,1005.6251817329811,1005.6251817329811
182,1005.5613915466222,1005.5613915466222,1005.5613915466222,1005.5613915466222
183,1005.5761368482282,1005.5761368482287,1005.5761368482282,1005.5761368482282
184,1005.7014046254037,1005.7014046254038,1005.7014046254037,1005.7014046254037
